"Name","LastUpdated","FilesModified","LinesAdded","LinesRemoved","ContextUsage"
"Recover lost old chats","10/6/2025 2:22:34 PM","extract-chats.js","0","0","5.3"
"Project cleanup and restructuring plan","10/5/2025 9:00:33 AM","VerticalMenu.svelte, +page.svelte, +page.svelte, +page.minimal.svelte, +layout.svelte","2842","2419","35.3"
"Configure Nokia LTE base band unit","10/3/2025 9:00:31 PM","networkService.ts, NokiaConfig.svelte, SiteEditor.svelte, VerticalMenu.svelte, +page.svelte","4380","468","65.8"
"Fix git connection issues in firebase ide","10/3/2025 11:20:45 AM","CSV_IMPORT_FORMAT.md, ManualImport.svelte, UI_TOOLTIPS_GUIDE.md, +page.svelte, Tooltip.svelte","3052","196","40.4"
"Improve UI with centralized CSS","10/2/2025 8:28:02 PM","CLOUD_RUN_ENV_SETUP.md, setup-cloud-run-env.sh, .gitignore, apphosting.yaml.template, apphosting.yaml","2527","433","43.6"
"Reset git repository to specific commit","10/2/2025 3:22:12 PM","app.html, pciOptimizerSimple.ts","10427","4462","37.1"
"Create PCI conflict mapper for LTE","9/30/2025 9:55:10 PM","TopBar.svelte, components.css, +page.svelte","8744","60","87.4"
"origin",,"N/A","N/A","N/A","N/A"
"PCI_mapper",,"N/A","N/A","N/A","N/A"
"Cursor",,"N/A","N/A","N/A","N/A"
